helyezes,pontszam,csapat,Asztalitenisz,Beer-Pong,Bemutatkozó,Biliárd,Bogrács,Bolc,Chandelier,Chest-Pong,City Tour,Cooltúra,CS:GO,Csocsó,Dance Battle,Erotik,Férfi foci,Fotómaraton,Jenga,Karaoke,Kézilabda,Klán-Tour,Klán-Tour Night,Kosárlabda,Kultúrmaraton,LOL,Méta,Néptánc,Női foci,Póker,Röplabda,Sakk,Slam Poetry,Staféta,Táblé,Táncmaraton,Úszás
48,2906,ColaBorÉsÖn,75,50,210,20,182,28,35,50,170,80,25,50,80,145,50,92,30,70,50,155,135,50,138,50,50,104,50,55,70,40,50,48,30,343,46
49,2889,Durgolax,25,50,161,40,197,48,70,50,101,55,110,0,130,0,170,0,60,70,50,160,140,50,162,50,50,170,50,35,50,30,50,90,40,339,36
50,2851,Cheeky-Share,0,90,244,30,0,25,70,110,74,45,75,140,80,0,170,88,40,70,130,165,185,90,105,25,50,0,50,55,70,0,50,128,0,295,102
51,2813,N@fing,25,50,210,20,177,90,40,80,185,120,50,110,80,153,50,0,30,70,50,145,110,50,219,25,50,27,50,55,70,30,130,52,30,146,34
52,2708,AbszolÚt,50,50,248,20,203,29,35,50,137,60,50,50,80,185,90,0,30,70,130,190,150,0,111,25,90,77,50,30,90,40,200,0,30,0,58
53,2678,diaknapos csapat,0,90,123,30,156,155,50,50,77,80,150,50,80,0,50,144,30,70,90,130,115,90,243,50,50,0,90,55,90,30,50,82,30,0,98
54,2654,Mad Dogs,50,50,193,120,183,31,0,0,95,0,50,50,80,0,170,86,30,165,0,115,105,90,192,10,50,47,50,55,50,0,50,114,30,207,136
55,2653,Drunkin' donuts,25,90,183,20,162,27,80,80,116,40,25,0,80,0,50,153,30,70,50,185,165,50,260,50,50,164,90,25,0,50,50,0,50,183,0
56,2643,Lemonarchia,25,50,0,150,135,125,30,110,116,40,25,50,80,0,90,0,60,140,90,185,165,90,108,50,90,0,90,35,0,60,50,42,30,332,0
57,2620,Fröccsögök,100,130,163,0,165,50,0,50,116,0,50,80,80,203,50,0,80,70,50,115,105,50,114,0,130,167,50,120,50,50,50,92,40,0,50
58,2607,Etilalakulat,50,50,213,30,178,36,40,50,104,65,50,0,80,0,50,124,30,225,0,140,145,90,171,75,50,0,50,80,70,30,130,0,30,63,108
59,2523,RoxtARRok,25,50,123,30,0,0,80,50,98,55,110,80,130,0,130,0,30,70,130,160,140,170,132,50,30,53,170,55,50,60,50,136,0,0,76
60,2135,MegBORulunk,25,50,83,30,0,42,125,50,80,0,50,50,80,0,50,0,40,70,30,115,105,0,153,10,90,62,50,55,50,40,50,0,40,340,120
61,1584,SzEscoBar,25,50,188,20,0,0,0,80,71,80,150,50,80,0,50,0,30,70,0,130,115,0,0,50,0,0,130,35,90,0,50,0,40,0,0
